signer_id,target_sign,feature,candidate_sign,rank,distance
S004,CSL_bye,handshape,CSL_bye,1,0.055963424166305266
S004,CSL_bye,handshape,CSL_no,2,0.15802379957785212
S004,CSL_bye,handshape,CSL_sorry,3,0.3803806863677863
S004,CSL_bye,handshape,CSL_yes,4,0.4034051975215983
S004,CSL_bye,handshape,CSL_like,5,0.5874386906074823
S004,CSL_bye,handshape,CSL_hello,6,0.7406683091094113
S004,CSL_bye,handshape,CSL_thanks,7,0.8503655519352419
S004,CSL_bye,trajectory,CSL_bye,1,0.22084279143084698
S004,CSL_bye,trajectory,CSL_no,2,0.4939996632951074
S004,CSL_bye,trajectory,CSL_yes,3,0.7531338039480218
S004,CSL_bye,trajectory,CSL_thanks,4,0.8914347985316657
S004,CSL_bye,trajectory,CSL_hello,5,0.9157650402891941
S004,CSL_bye,trajectory,CSL_like,6,1.023759728694535
S004,CSL_bye,trajectory,CSL_sorry,7,1.0814911609774258
S005,CSL_bye,handshape,CSL_bye,1,0.10429180437210342
S005,CSL_bye,handshape,CSL_no,2,0.12023607597084292
S005,CSL_bye,handshape,CSL_sorry,3,0.37847023158352516
S005,CSL_bye,handshape,CSL_yes,4,0.4076166453821643
S005,CSL_bye,handshape,CSL_like,5,0.5642592204690814
S005,CSL_bye,handshape,CSL_hello,6,0.7344811239968351
S005,CSL_bye,handshape,CSL_thanks,7,0.864320632510515
S005,CSL_bye,trajectory,CSL_bye,1,0.28594450473423716
S005,CSL_bye,trajectory,CSL_no,2,0.30338228340977497
S005,CSL_bye,trajectory,CSL_yes,3,0.5391531767357501
S005,CSL_bye,trajectory,CSL_thanks,4,0.6775644424738457
S005,CSL_bye,trajectory,CSL_hello,5,0.7019445454453346
S005,CSL_bye,trajectory,CSL_like,6,0.8289761227032617
S005,CSL_bye,trajectory,CSL_sorry,7,0.8660896187900833
S004,CSL_hello,handshape,CSL_hello,1,0.1984130296008932
S004,CSL_hello,handshape,CSL_thanks,2,0.31876281627575337
S004,CSL_hello,handshape,CSL_like,3,0.41618322563025073
S004,CSL_hello,handshape,CSL_sorry,4,0.5037672678857413
S004,CSL_hello,handshape,CSL_yes,5,0.5361266702216793
S004,CSL_hello,handshape,CSL_no,6,0.7065640462770373
S004,CSL_hello,handshape,CSL_bye,7,0.8096821108836509
S004,CSL_hello,trajectory,CSL_yes,1,0.3694479393075026
S004,CSL_hello,trajectory,CSL_no,2,0.383252215986787
S004,CSL_hello,trajectory,CSL_thanks,3,0.3976137477259244
S004,CSL_hello,trajectory,CSL_hello,4,0.42500619302112147
S004,CSL_hello,trajectory,CSL_bye,5,0.5035216781739156
S004,CSL_hello,trajectory,CSL_like,6,0.6228177484496128
S004,CSL_hello,trajectory,CSL_sorry,7,0.6664132022389132
S005,CSL_hello,handshape,CSL_thanks,1,0.41913618929527147
S005,CSL_hello,handshape,CSL_hello,2,0.4588681104095144
S005,CSL_hello,handshape,CSL_sorry,3,0.6265786199967156
S005,CSL_hello,handshape,CSL_yes,4,0.6989770841856163
S005,CSL_hello,handshape,CSL_like,5,0.7761348431100368
S005,CSL_hello,handshape,CSL_no,6,0.8281747991914673
S005,CSL_hello,handshape,CSL_bye,7,0.9433686720591097
S005,CSL_hello,trajectory,CSL_thanks,1,0.374884978881075
S005,CSL_hello,trajectory,CSL_hello,2,0.39388328259563404
S005,CSL_hello,trajectory,CSL_yes,3,0.5902182444514252
S005,CSL_hello,trajectory,CSL_sorry,4,0.60340101184251
S005,CSL_hello,trajectory,CSL_like,5,0.6580976818189789
S005,CSL_hello,trajectory,CSL_no,6,0.7969290731533308
S005,CSL_hello,trajectory,CSL_bye,7,1.0930033341011556
S004,CSL_what,handshape,CSL_friend,1,0.43141396237355256
S004,CSL_what,handshape,CSL_name,2,0.5566277425219534
S004,CSL_what,handshape,CSL_help,3,0.5747129182504546
S004,CSL_what,handshape,CSL_never_mind,4,0.7352782243866246
S004,CSL_what,handshape,CSL_what,5,1.5042954564055135
S004,CSL_what,trajectory,CSL_name,1,0.46116247007203903
S004,CSL_what,trajectory,CSL_friend,2,0.48263099587259334
S004,CSL_what,trajectory,CSL_never_mind,3,0.6554187354339217
S004,CSL_what,trajectory,CSL_help,4,0.6966789996707914
S004,CSL_what,trajectory,CSL_what,5,0.8733244250654649
S005,CSL_what,handshape,CSL_what,1,0.6016478230989087
S005,CSL_what,handshape,CSL_never_mind,2,0.996232078421719
S005,CSL_what,handshape,CSL_friend,3,1.0925495246832484
S005,CSL_what,handshape,CSL_name,4,1.2351422859501255
S005,CSL_what,handshape,CSL_help,5,1.478084080063016
S005,CSL_what,trajectory,CSL_friend,1,0.2995673361039003
S005,CSL_what,trajectory,CSL_never_mind,2,0.3733305190701973
S005,CSL_what,trajectory,CSL_name,3,0.40872176059875376
S005,CSL_what,trajectory,CSL_what,4,0.5579607435630389
S005,CSL_what,trajectory,CSL_help,5,0.7073652341228683
