sign_id,signer_id,samples,distance_to_train_reference
CSL_bye,S001,20,0.11775962438741724
CSL_bye,S002,20,0.11508822877609406
CSL_bye,S003,5,0.11195314009420754
CSL_bye,S004,20,0.22282214710972312
CSL_bye,S005,20,0.2673489187455991
CSL_hello,S001,20,0.21914964046168925
CSL_hello,S002,20,0.2679846528170558
CSL_hello,S003,5,0.4414499939624765
CSL_hello,S004,20,0.41620923806799703
CSL_hello,S005,20,0.4174626501835173
CSL_what,S001,20,0.34816028643589697
CSL_what,S002,20,0.33116973799380706
CSL_what,S003,5,0.24088692698104125
CSL_what,S004,20,0.4957207142004382
CSL_what,S005,20,0.49459824174103517
