class_id,sign_id,label,support,correct,incorrect,accuracy,precision,recall,f1
0,CSL_thanks,谢谢,5,4,1,0.8,0.4444444444444444,0.8,0.5714285714285714
1,CSL_bye,再见,5,4,1,0.8,0.4,0.8,0.5333333333333333
2,CSL_friend,朋友,5,5,0,1.0,0.8333333333333334,1.0,0.9090909090909091
3,CSL_hello,你好,5,0,5,0.0,0.0,0.0,0.0
4,CSL_help,帮助,5,0,5,0.0,0.0,0.0,0.0
5,CSL_like,喜欢,5,5,0,1.0,0.8333333333333334,1.0,0.9090909090909091
6,CSL_me,我,5,0,5,0.0,0.0,0.0,0.0
7,CSL_name,名字,5,5,0,1.0,1.0,1.0,1.0
8,CSL_never_mind,没关系,5,4,1,0.8,0.6666666666666666,0.8,0.7272727272727272
9,CSL_no,不,5,0,5,0.0,0.0,0.0,0.0
10,CSL_please,请,5,0,5,0.0,0.0,0.0,0.0
11,CSL_sorry,对不起,5,5,0,1.0,1.0,1.0,1.0
12,CSL_what,什么,5,5,0,1.0,1.0,1.0,1.0
13,CSL_yes,是,5,0,5,0.0,0.0,0.0,0.0
14,CSL_you,你,5,4,1,0.8,0.2222222222222222,0.8,0.3478260869565218
